word,meaning,difficulty,video_path
고민,마음속으로 괴로워하며 생각함,2,NIA_SL_WORD0001_SYN01_F.mp4
수어,청각 장애인들이 손과 몸짓으로 의사를 전달하는 언어,2,NIA_SL_WORD0003_SYN01_F.mp4
남아,남자 아이,1,NIA_SL_WORD0004_SYN01_F.mp4
눈,시각 기관. 또는 하늘에서 내리는 흰 결정체,1,NIA_SL_WORD0005_SYN01_F.mp4
독신,결혼하지 않고 혼자 사는 상태,2,NIA_SL_WORD0006_SYN01_F.mp4
슬프다,마음이 아프고 괴롭다,2,NIA_SL_WORD0009_SYN01_F.mp4
자극,감각이나 감정을 불러일으키는 작용,3,NIA_SL_WORD0010_SYN01_F.mp4
안타깝다,뜻대로 되지 않아 답답하고 애처롭다,2,NIA_SL_WORD0011_SYN01_F.mp4
어색하다,자연스럽지 못하고 서먹하다,2,NIA_SL_WORD0012_SYN01_F.mp4
여아,여자 아이,1,NIA_SL_WORD0013_SYN01_F.mp4
외국인,다른 나라 국적을 가진 사람,1,NIA_SL_WORD0014_SYN01_F.mp4
영아,젖먹이 아이,1,NIA_SL_WORD0015_SYN01_F.mp4
신사,예의 바르고 교양 있는 남자,2,NIA_SL_WORD0016_SYN01_F.mp4
알아서,스스로 판단하여,3,NIA_SL_WORD0019_SYN01_F.mp4
장애인,신체적 또는 정신적 기능에 장애가 있는 사람,2,NIA_SL_WORD0020_SYN01_F.mp4
침착,행동이나 태도가 차분하고 안정된 상태,2,NIA_SL_WORD0022_SYN01_F.mp4
성실,진심으로 최선을 다하는 태도,2,NIA_SL_WORD0023_SYN01_F.mp4
학교연혁,학교의 설립부터 현재까지의 역사적 변천,2,NIA_SL_WORD0024_SYN01_F.mp4
싫어하다,마음에 들지 않아 꺼리다,2,NIA_SL_WORD0025_SYN01_F.mp4
급하다,[동음이의어] 시간이 촉박하거나 성격이 급하다,2,NIA_SL_WORD0026_SYN01_F.mp4
필기시험,글씨로 답을 쓰는 방식의 시험,3,NIA_SL_WORD0027_SYN01_F.mp4
병문안,아픈 사람을 찾아가 위로하는 일,2,NIA_SL_WORD0028_SYN01_F.mp4
검사,[동음이의어] 사실이나 상태를 조사하여 확인하는 일,2,NIA_SL_WORD0029_SYN01_F.mp4
낚시터,낚시를 할 수 있는 장소,2,NIA_SL_WORD0031_SYN01_F.mp4
당뇨병,혈액 속 포도당 수치가 높아지는 만성 질환,3,NIA_SL_WORD0033_SYN01_F.mp4
독서,책을 읽는 일,1,NIA_SL_WORD0034_SYN01_F.mp4
매표소,표를 파는 곳,2,NIA_SL_WORD0035_SYN01_F.mp4
면역,몸이 특정 병원체에 저항하는 능력,3,NIA_SL_WORD0036_SYN01_F.mp4
감기,바이러스로 인한 호흡기 질환,1,NIA_SL_WORD0037_SYN01_F.mp4
배드민턴,라켓으로 셔틀콕을 쳐서 겨루는 스포츠,2,NIA_SL_WORD0038_SYN01_F.mp4
변비,대변을 보기 어려운 증상,2,NIA_SL_WORD0039_SYN01_F.mp4
병명,병의 이름,2,NIA_SL_WORD0040_SYN01_F.mp4
보건소,지역 주민의 건강을 관리하는 공공 기관,2,NIA_SL_WORD0041_SYN01_F.mp4
불면증,잠을 이루지 못하는 증상,3,NIA_SL_WORD0042_SYN01_F.mp4
불행,행복하지 않은 상태,2,NIA_SL_WORD0043_SYN01_F.mp4
붕대,상처를 감싸는 의료용 천,2,NIA_SL_WORD0044_SYN01_F.mp4
설사,묽은 대변을 자주 보는 증상,2,NIA_SL_WORD0046_SYN01_F.mp4
성병,성적 접촉으로 전파되는 감염병,3,NIA_SL_WORD0047_SYN01_F.mp4
방충,벌레를 막거나 쫓는 일,3,NIA_SL_WORD0048_SYN01_F.mp4
소화제,소화를 도와주는 약,2,NIA_SL_WORD0049_SYN01_F.mp4
손녀,아들이나 딸의 딸,1,NIA_SL_WORD0050_SYN01_F.mp4
손자,아들이나 딸의 아들,1,NIA_SL_WORD0051_SYN01_F.mp4
수면제,잠을 자게 도와주는 약,2,NIA_SL_WORD0052_SYN01_F.mp4
수집가,특정 물건을 모으는 것을 취미로 하는 사람,3,NIA_SL_WORD0053_SYN01_F.mp4
여행지,여행을 가는 목적지,2,NIA_SL_WORD0054_SYN01_F.mp4
예식장,결혼식 등을 치르는 장소,2,NIA_SL_WORD0055_SYN01_F.mp4
올림픽경기,4년마다 열리는 국제 스포츠 대회,2,NIA_SL_WORD0056_SYN01_F.mp4
회복,[동음이의어] 나빠진 상태가 다시 좋아짐,2,NIA_SL_WORD0057_SYN01_F.mp4
첫번째,순서상 맨 처음,1,NIA_SL_WORD0058_SYN01_F.mp4
운동경기,규칙에 따라 겨루는 스포츠 경기,2,NIA_SL_WORD0059_SYN01_F.mp4
입원,병원에 들어가 치료를 받는 일,2,NIA_SL_WORD0060_SYN01_F.mp4
재혼,이혼하거나 사별한 후 다시 결혼하는 일,2,NIA_SL_WORD0061_SYN01_F.mp4
진단서,의사가 환자의 병 상태를 적은 문서,3,NIA_SL_WORD0062_SYN01_F.mp4
축구장,축구 경기를 하는 운동장,2,NIA_SL_WORD0063_SYN01_F.mp4
치료,병이나 상처를 낫게 하는 행위,2,NIA_SL_WORD0064_SYN01_F.mp4
치료법,병을 고치는 방법,2,NIA_SL_WORD0065_SYN01_F.mp4
친아들,직접 낳은 아들,1,NIA_SL_WORD0066_SYN01_F.mp4
퇴원,병원 치료를 마치고 나오는 일,2,NIA_SL_WORD0067_SYN01_F.mp4
한약,한방에서 쓰는 전통 약재,2,NIA_SL_WORD0068_SYN01_F.mp4
한약방,한약을 조제하고 파는 곳,2,NIA_SL_WORD0069_SYN01_F.mp4
빈혈,혈액 속 적혈구나 헤모글로빈이 부족한 상태,3,NIA_SL_WORD0070_SYN01_F.mp4
화상,불이나 열로 인한 피부 손상,2,NIA_SL_WORD0071_SYN01_F.mp4
가래떡,쌀가루를 쪄서 만든 흰 떡,2,NIA_SL_WORD0072_SYN01_F.mp4
고깃국,고기를 넣어 끓인 국,2,NIA_SL_WORD0073_SYN01_F.mp4
고추,매운맛을 내는 붉은 채소,1,NIA_SL_WORD0074_SYN01_F.mp4
고추가루,고추를 빻아 만든 붉은 가루 양념,2,NIA_SL_WORD0075_SYN01_F.mp4
사골,소의 다리뼈,2,NIA_SL_WORD0076_SYN01_F.mp4
배추국,배추를 넣어 끓인 국,2,NIA_SL_WORD0077_SYN01_F.mp4
꽈베기,밀가루 반죽을 꼬아서 튀긴 과자,2,NIA_SL_WORD0078_SYN01_F.mp4
벌꿀,꿀벌이 만든 달콤한 액체,2,NIA_SL_WORD0079_SYN01_F.mp4
꿀물,물에 꿀을 타서 만든 음료,2,NIA_SL_WORD0080_SYN01_F.mp4
냄비,음식을 끓이는 데 쓰는 금속 용기,1,NIA_SL_WORD0081_SYN01_F.mp4
찬물,차가운 물,1,NIA_SL_WORD0082_SYN01_F.mp4
다과,차와 과자류를 통틀어 이르는 말,3,NIA_SL_WORD0083_SYN01_F.mp4
지방경찰청장,지방 경찰청을 이끄는 최고 책임자,3,NIA_SL_WORD0084_SYN01_F.mp4
돼지고기,돼지의 고기,1,NIA_SL_WORD0085_SYN01_F.mp4
된장찌게,된장을 풀어 끓인 찌개,2,NIA_SL_WORD0086_SYN01_F.mp4
두부,콩을 갈아 만든 흰색 식품,1,NIA_SL_WORD0087_SYN01_F.mp4
딸기,빨갛고 달콤한 열매,1,NIA_SL_WORD0088_SYN01_F.mp4
떡국,가래떡을 썰어 넣고 끓인 국,2,NIA_SL_WORD0089_SYN01_F.mp4
라면,밀가루로 만든 즉석 국수,1,NIA_SL_WORD0090_SYN01_F.mp4
막걸리,쌀로 만든 한국 전통 탁주,2,NIA_SL_WORD0091_SYN01_F.mp4
무,흰색의 크고 둥근 뿌리채소,1,NIA_SL_WORD0092_SYN01_F.mp4
밥그릇,밥을 담는 그릇,2,NIA_SL_WORD0093_SYN01_F.mp4
밥솥,밥을 짓는 솥,2,NIA_SL_WORD0094_SYN01_F.mp4
보신탕,개고기로 끓인 탕,2,NIA_SL_WORD0095_SYN01_F.mp4
부엌,음식을 만드는 공간,2,NIA_SL_WORD0096_SYN01_F.mp4
소불고기,소고기를 양념에 재워 구운 음식,2,NIA_SL_WORD0097_SYN01_F.mp4
비빔밥,밥에 여러 나물과 고추장을 넣어 비빈 음식,2,NIA_SL_WORD0098_SYN01_F.mp4
사과,빨갛거나 초록색의 달콤한 과일,1,NIA_SL_WORD0099_SYN01_F.mp4
달다,설탕처럼 단맛이 나다,1,NIA_SL_WORD0101_SYN01_F.mp4
소주,한국의 대표적인 증류 알코올 음료,1,NIA_SL_WORD0102_SYN01_F.mp4
술잔,술을 마시는 잔,2,NIA_SL_WORD0103_SYN01_F.mp4
식당,음식을 파는 가게,1,NIA_SL_WORD0104_SYN01_F.mp4
쌀가루,쌀을 빻아 만든 가루,2,NIA_SL_WORD0105_SYN01_F.mp4
냉커피,차갑게 만든 커피,2,NIA_SL_WORD0106_SYN01_F.mp4
양식,서양식 음식 또는 식량,2,NIA_SL_WORD0107_SYN01_F.mp4
술,알코올이 들어있는 음료,1,NIA_SL_WORD0109_SYN01_F.mp4
용품,특정 목적에 사용하는 물품,2,NIA_SL_WORD0110_SYN01_F.mp4
유리그릇,유리로 만든 그릇,2,NIA_SL_WORD0111_SYN01_F.mp4
짬뽕,해물과 채소를 넣어 만든 매운 중국식 국수,2,NIA_SL_WORD0112_SYN01_F.mp4
칼국수,밀가루 반죽을 칼로 썰어 만든 국수,2,NIA_SL_WORD0114_SYN01_F.mp4
